part_number,description,on_hand,unit_cost,aging_days,warehouse,agm_code,li_code
47782768001,"INSTL, BATTERY, 72V SYS, AGM",70,950.0,220,A,DR,
47782768002,"INSTL, BATTERY, 72V SYS, AGM B",62,950.0,210,A,X,
47785863001,"INSTL, MIRROR, INTERIOR, CEN",88,65.0,30,A,DR,DR
47785970001,"KIT, LOGGER, DATA",88,250.0,30,A,X,X
47786318001,"INSTL, CHARGER 1500W, 120VDC, CA",31,380.0,30,A,X,
47786720003,"INSTL, GRAB HANDLE, OPS TRIPLE",88,250.0,30,A,X,X
47787188001,"INSTL, ELECTRICAL, CRU, LI",57,250.0,30,A,,DR
47787614001,"INSTL,BATTERY,72V SYS,LI 8KW",25,1200.0,30,P,,DR
47787614002,"INSTL,BATTERY,72V SYS,LI 16KW",30,1800.0,30,P,,X
47787678001,"INSTL, WINDSHIELD, HEATED",88,180.0,30,A,X,X
47787695001,"INSTL, TIRE,F,KLVR,ATL50,GB,CC",88,250.0,30,A,X,X
47787696001,"INSTL, TIRE,R,KLVR,ATL50,GB,CC",88,250.0,30,A,X,X
47788076001,"OPTION, DASH, BEIGE",88,35.0,30,A,DR,DR
47788076002,"OPTION, DASH, BLACK",88,35.0,30,A,X,X
47788095001,"INSTL, CHGR 1500W, 85VDC",57,380.0,30,A,,DR
47788162001,"INSTL, DECAL, BRANDING, LI-ION",57,12.0,30,A,,DR
47788162002,"INSTL, DECAL, BRANDING, LI-XR",57,12.0,30,A,,X
47788169001,"OPTION, DECAL, LI-ION",57,12.0,30,A,,DR
47788169002,"OPTION, DECAL, LI-ION-XR",57,12.0,30,A,,X
47788256001,"INSTL, CHGR 1500W, 85VDC, CA",57,380.0,30,A,,X
47789185001,"KIT, ENCLOSURE,CRU",88,250.0,30,A,X,X
NS1500711044,INSTL CRU CUSTOM PAINT044,31,250.0,30,A,X,
NS1500720001,"DEL, SEATS CRU SANDY BEIGE",31,220.0,30,A,X,
NS1500725016,INSTL SEAT FRT CRU HONEYDD CRU,31,220.0,30,A,X,
NS1500726015,INSTL SEAT RBM CRU HONEY,31,220.0,30,A,X,
NS1500727016,INSTL SEAT RBK CRU HONEY DD,31,220.0,30,A,X,
NS1500728016,INSTL SEAT SBK CRU HONEY DD,31,220.0,30,A,X,
NS1500729015,INSTL SEAT SBM CRU HONEY,31,220.0,30,A,X,
SVP19254001,"KIT,TABLE,CRU,DIP,BLK/GLD GRN",31,250.0,30,A,X,
SVP19724001,"COOLER, SOFT,24,CC PATCH, BLK",88,35.0,30,A,X,X
SWF125006,"SWF, MCU, OS, AGM, CRU",31,1450.0,30,A,DR,
SWF125008,"SWF, MCU, OS, LION, CRU",57,1450.0,30,A,,DR
SWF126006,"SWF, MCU, VCL, AGM, CRU",31,1450.0,30,A,DR,
SWF126008,"SWF, MCU, VCL, LION, CRU",57,1450.0,30,A,,DR
SWF131001,"SWF, VCM, AGM, CRU",31,0.5,30,A,DR,
SWF133001,"SWF, VCM, LION, CRU",57,0.5,30,A,,DR
SWP123019,"SWP, SPEED, SET, 24.7MPH",88,0.5,30,A,DR,DR
SWP124001,"SWP, PEDALUP, SET, 0",88,0.5,30,A,X,X
SWP124002,"SWP, PEDALUP, SET, 1",88,0.5,30,A,DR,DR
SWP124003,"SWP, PEDALUP, SET, 2",88,0.5,30,A,X,X
SWP134001,"SWP, PROFILE, DRIVE, ECONO",88,0.5,30,A,X,X
SWP134002,"SWP, PROFILE, DRIVE, NORMAL",88,0.5,30,A,X,X
SWP134003,"SWP, PROFILE, DRIVE, SPORT",88,0.5,30,A,DR,DR
SWP140001,"SWP, Key Off Lighting, 30 seconds",88,0.5,30,A,DR,DR
SWP140002,"SWP, Key Off Lighting, 2 minutes",88,0.5,30,A,X,X
SWP149002,"SWP, BATTERY, TROJAN 31-AES",31,950.0,30,A,DR,
